dataset;noise_level;model;mrr_filtered;mrr;mr_filtered;mr;hits@10_filtered;hits@10;hits@1_filtered;hits@1
wnrr_type;5;conve;0,403;0,243;6165,890;6180,152;0,463;0,443;0,370;0,137
wnrr_type;10;rescal;0,390;0,233;7963,618;7977,708;0,444;0,422;0,358;0,133
wnrr_type;10;transe;0,198;0,159;3035,578;3049,557;0,455;0,435;0,037;0,033
wnrr_type;10;complex;0,405;0,253;5756,281;5770,281;0,477;0,444;0,367;0,149
wnrr_type;10;distmult;0,394;0,245;6133,710;6147,767;0,463;0,440;0,355;0,142
wnrr_type;10;conve;0,368;0,225;6361,860;6375,945;0,429;0,415;0,334;0,126
wnrr;0;rescal;0,466;0,273;5076,235;5090,702;0,520;0,478;0,438;0,162
wnrr;0;transe;0,225;0,178;1994,516;2008,894;0,512;0,482;0,048;0,041
wnrr;0;complex;0,473;0,288;4227,289;4241,726;0,545;0,500;0,437;0,173
wnrr;0;conve;0,441;0,266;5136,335;5150,833;0,498;0,474;0,411;0,155
wnrr;0;distmult;0,452;0,277;4337,375;4351,831;0,526;0,490;0,414;0,160
wnrr;1;rescal;0,459;0,272;5455,944;5470,356;0,514;0,474;0,429;0,162
wnrr;1;transe;0,220;0,174;2145,328;2159,664;0,508;0,479;0,045;0,038
wnrr;1;complex;0,469;0,286;4394,736;4409,122;0,543;0,498;0,431;0,169
wnrr;1;conve;0,432;0,262;5120,867;5135,334;0,495;0,470;0,400;0,153
wnrr;1;distmult;0,448;0,276;4233,474;4247,886;0,529;0,493;0,407;0,160
wnrr;2;rescal;0,448;0,265;5531,724;5546,087;0,503;0,464;0,415;0,156
wnrr;2;transe;0,215;0,171;2227,560;2241,844;0,499;0,470;0,042;0,036
wnrr;2;complex;0,454;0,279;4495,116;4509,456;0,530;0,484;0,414;0,165
wnrr;2;conve;0,421;0,256;5426,297;5440,723;0,482;0,460;0,389;0,149
wnrr;2;distmult;0,439;0,272;4560,281;4574,662;0,523;0,485;0,396;0,158
wnrr;5;rescal;0,424;0,256;5977,774;5991,953;0,482;0,447;0,387;0,153
wnrr;5;transe;0,202;0,160;2679,110;2693,172;0,469;0,448;0,036;0,030
wnrr;5;complex;0,431;0,271;4856,114;4870,214;0,508;0,467;0,387;0,163
wnrr;5;conve;0,396;0,244;5856,070;5870,276;0,463;0,444;0,357;0,139
wnrr;5;distmult;0,416;0,262;4764,128;4778,283;0,504;0,469;0,369;0,152
wnrr;10;rescal;0,386;0,237;6985,658;6999,579;0,446;0,421;0,348;0,140
wnrr;10;transe;0,186;0,150;3405,507;3419,340;0,437;0,418;0,031;0,028
wnrr;10;complex;0,398;0,252;5583,671;5597,550;0,474;0,440;0,353;0,150
wnrr;10;conve;0,362;0,227;6814,786;6828,726;0,429;0,417;0,321;0,129
wnrr;10;distmult;0,384;0,247;5662,828;5676,734;0,468;0,438;0,335;0,143
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
